城市,名称,上牌时间,品牌,表显里程,排量,变速箱,原价,售价,排放标准,过户次数,使用性质,产权性质,看车方式,异常点,车长/宽/高,轴距,行李箱容积,整备质量,进气形式,气缸数,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驱车制动类型,前轮胎规格,后轮胎规格,abs,esp,定速巡航,gps,倒车雷达,倒车影像系统
烟台,雪佛兰 科鲁兹 2013款 1.8L SE AT,2013,雪佛兰,8.27万公里,1.8L,自动,14.86万,5.30万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,6,4598/1797/1477,2685,400,1410,自然吸气,4缸,147,177,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,205/60 R16,205/60 R16,标配,-,-,标配,标配,-
天津,三菱 欧蓝德 2019款 2.0L 两驱畅享版 5座 国V,2019,三菱,2.93万公里,2.0L,自动,18.76万,14.20万,国五,1次过户,非运营使用性质,公转私产权性质,到店服务看车方式,1,4705/1810/1710,2670,-,1506,自然吸气,4缸,166,201,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,225/55 R18,225/55 R18,标配,标配,标配,标配,标配,标配
郑州,奔驰B级 2020款 B 200 动感型,2020,奔驰B级,0.7万公里,1.3T,自动,28.20万,21.38万,国六,1次过户,非运营使用性质,公户产权性质,到店服务看车方式,4,4423/1796/1555,2729,-,1439,涡轮增压,4缸,163,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,205/55 R17,205/55 R17,标配,标配,标配,标配,标配,选配
长沙,雷克萨斯NX 2015款 200 全驱 锋尚版,2015,雷克萨斯NX,10.49万公里,2.0L,自动,39.95万,22.50万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,20,4630/1845/1645,2660,500,1700,自然吸气,4缸,150,189,汽油,92号,多点电喷,前置四驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/65 R17,225/65 R17,标配,标配,-,标配,标配,标配
呼和,宝马5系 2014款 525Li 豪华设计套装,2014,宝马5系,9.1万公里,2.0T,自动,54.23万,25.60万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,26,5055/1860/1491,3108,520,1760,涡轮增压,4缸,218,310,汽油,95号,直喷,前置后驱,电动助力,双叉臂式独立悬架,多连杆独立悬架,通风盘式,通风盘式,电子驻车,245/45 R18,245/45 R18,标配,标配,标配,标配,标配,选配
无锡,北汽绅宝 绅宝D50 2014款 1.5L 手动舒适版,2014,北汽绅宝,7.04万公里,1.5L,手动,8.88万,2.60万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,30,4582/1794/1486,2650,405,1270,自然吸气,4缸,113,147,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,-,标配,标配,-
合肥,款 1.5T ONE PLUS 五门版,未知年份,款,0.16万公里,1.5T,自动,22.99万,20.68万,国六,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,0,3993/1727/1466,2567,278-941,1278,涡轮增压,3缸,102,190,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,手刹,195/55 R16,195/55 R16,标配,标配,标配,标配,标配,-
郑州,奔驰B级 2018款 B 200 动感型(进口),2018,奔驰B级,0.85万公里,1.6T,自动,26.46万,18.18万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,2,4398/1786/1551,2699,-,-,涡轮增压,4缸,156,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17,标配,标配,标配,标配,标配,-
郑州,别克 君越 2018款 20T 精英型,2018,别克,4.63万公里,1.5T,自动,26.03万,15.68万,国五,1次过户,非运营使用性质,公户产权性质,到店服务看车方式,12,5018/1866/1459,2905,523,1510,涡轮增压,4缸,170,252,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,235/55 R17,235/55 R17,标配,标配,标配,标配,标配,标配
北京,大切诺基 2015款 3.0L 舒享导航版(进口),2015,大切诺基,8.5万公里,3.0L,自动,62.95万,26.80万,国五,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,7,4828/1943/1802,2915,-,2235,自然吸气,6缸,234,285,汽油,92号,多点电喷,前置四驱,电子液压助力,双叉臂式独立悬架,多连杆式独立悬架+横向稳定杆,通风盘式,通风盘式,脚刹,265/60 R18,265/60 R18,标配,标配,标配,标配,标配,标配
